Date,Open,High,Low,Close,Adj Close,Volume
2008-02-01,19.549252,22.695921,18.123482,21.947702,12.072883,17074587
2008-03-01,21.781433,22.650196,19.640701,20.285000,11.160563,0
2008-04-01,20.451269,24.098827,20.420094,23.818247,13.109195,5235004
2008-05-01,23.818247,25.875843,22.932856,24.504112,13.489742,26814780
2008-06-01,24.105062,24.585169,20.077162,20.569736,11.325933,60489546
2008-07-01,20.139511,21.729473,18.817661,19.896341,10.982506,24429590
2008-08-01,19.896341,19.896341,17.932270,18.674253,10.310348,11512646
2008-09-01,18.643078,19.883871,16.067963,19.291533,10.653681,10316844
2008-10-01,19.017185,19.453646,11.934064,15.643974,8.641526,46454906
2008-11-01,15.587857,17.863686,11.815596,15.357157,8.485158,11486503
2008-12-01,14.777289,16.498188,14.135069,14.166245,7.829401,15124912
2009-01-01,14.166245,14.166245,12.538872,12.969097,7.260934,0
2009-02-01,12.594989,14.665056,12.532637,12.906746,7.228420,10896141
2009-03-01,12.713456,14.802229,12.046296,14.403180,8.069798,11286990
2009-04-01,14.197421,17.233934,14.197421,16.891003,9.467607,10465838
2009-05-01,16.891003,19.023420,10.455075,10.753183,6.029384,1584432124
2009-06-01,10.927080,11.140014,9.741745,10.284728,5.768398,3461502343
2009-07-01,10.327315,10.767379,9.429442,10.487015,5.884631,306111261
2009-08-01,10.646716,11.140014,10.259886,10.912884,6.158553,327079415
2009-09-01,10.923531,12.669592,10.636070,12.509892,7.063211,207840965
2009-10-01,12.428267,13.450352,11.942067,12.265017,6.928267,328502674
2009-11-01,12.265017,13.003190,12.155001,12.953505,7.320218,236384412
2009-12-01,12.985445,13.734264,12.591516,12.910918,7.299156,199331303
2010-01-01,12.910918,13.500036,11.005156,11.118721,6.368284,196935634
2010-02-01,11.239383,11.601372,10.437331,11.001607,6.303640,179814583
2010-03-01,11.001607,11.001607,11.001607,11.001607,6.311258,0
2010-04-01,11.001607,11.001607,11.001607,11.001607,6.314221,0
2010-05-01,11.001607,11.001607,11.001607,11.001607,6.317182,0
2010-06-01,11.001607,11.001607,11.001607,11.001607,6.320147,0
2010-07-01,11.001607,11.608470,10.188907,11.445220,6.609075,176820137
2010-08-01,11.533943,11.601372,10.469271,10.809966,6.245176,248008261
2010-09-01,10.831259,12.048534,9.929837,12.037887,6.957695,241961349
2010-10-01,12.037887,13.095461,11.966909,12.438914,7.192841,287935518
2010-11-01,12.460207,13.198379,11.913676,11.913676,6.892041,281775030
2010-12-01,12.048534,12.396327,11.296605,11.635147,6.733637,248170056
2011-01-01,11.809763,12.112669,10.897482,10.975881,6.441920,290772120
2011-02-01,11.047153,11.136243,10.359379,10.619522,6.235517,122851817
2011-03-01,10.619522,11.563875,10.619522,11.563875,6.813271,198108227
2011-04-01,11.563875,11.966562,10.886792,11.193261,6.598130,210752718
2011-05-01,11.079226,11.346496,10.512614,11.054281,6.519127,242666518
2011-06-01,10.958063,11.342932,10.669412,11.296605,6.665143,263709587
2011-07-01,11.275224,11.510421,9.931747,10.512614,6.240445,345963558
2011-08-01,10.644467,10.762066,8.951758,10.031528,5.957591,507519067
2011-09-01,10.273853,10.840465,9.539751,9.874730,5.867335,394387905
2011-10-01,9.746440,11.464094,9.329499,11.171879,6.641586,336175390
2011-11-01,10.583886,11.214643,9.817712,10.558941,6.280923,278837555
2011-12-01,10.794138,11.221770,10.498359,10.958063,6.521729,317123297
2012-01-01,11.047153,11.813327,10.815520,11.189697,6.801094,317016384
2012-02-01,11.250279,11.492603,10.680103,11.118425,6.761293,393196130
2012-03-01,11.161189,11.870345,10.968754,11.364314,6.923649,346808182
2012-04-01,11.403513,11.492603,10.416397,10.915300,6.653456,349902528
2012-05-01,10.915300,10.915300,9.479170,10.548250,6.433265,485495823
2012-06-01,10.334434,11.278787,10.102800,10.669412,6.510897,352638527
2012-07-01,10.640903,11.364314,10.174072,11.260969,6.916862,380599591
2012-08-01,11.232461,12.504665,11.022208,11.706419,7.194695,344631733
2012-09-01,11.738491,12.978624,11.396386,11.606638,7.137326,345277148
2012-10-01,11.578130,12.020016,10.997263,11.403513,7.016098,336836800
2012-11-01,11.389259,12.828952,11.321550,12.647209,7.786150,348597106
2012-12-01,12.654336,13.192439,12.376376,12.533174,7.720044,323445561
2013-01-01,12.533174,13.709161,12.533174,13.042768,8.164489,408957169
2013-02-01,12.957242,13.185312,12.187505,12.586628,7.882812,385305231
2013-03-01,12.454775,13.256584,12.454775,13.065219,8.203967,341076794
2013-04-01,13.276897,13.684572,12.328267,12.916261,8.114429,364472019
2013-05-01,12.916261,13.868810,12.634024,13.457215,8.458678,392415691
2013-06-01,13.406255,13.465055,10.674045,11.269878,7.087595,473749727
2013-07-01,11.081720,11.599155,9.995892,10.858283,6.883286,500475778
2013-08-01,10.956282,11.575635,10.434927,10.881802,6.903153,476544397
